anyo,id_alumno,fecha_nac,sexo,estado_matricula,curso,grupo,turno
2024,13124409,24/05/1962,M,M,3162075411,1CFMI,S
2024,13288467,15/08/2003,H,M,3162077551,2CFSI,D
2024,13294635,29/01/2003,H,M,3162079957,2CFSH,D
2024,10332148,27/12/2000,M,M,3162079993,2CFSR,S
2024,11738860,06/11/1978,M,M,3162079713,2CFMD,S
2024,11173156,20/11/1990,M,M,3162075411,1CFMI,S
2024,13156002,06/05/1975,M,M,3162075411,1CFMF,D
2024,12300236,09/01/1993,H,M,3162077600,2CFSS,S
2024,13257199,03/10/1966,H,M,3162080071,2CFSC,D
2024,11318443,03/09/1983,M,M,3162075411,1CFME,D
2024,10517919,08/03/1995,M,M,3162075539,2CFSK,D
2024,11904882,31/10/2002,H,M,3162079993,2CFSR,S
2024,10382918,05/10/2001,M,M,3162075411,1CFMI,S
2024,12491074,23/05/1986,M,M,3162079790,2CFSP,S
2024,13466647,19/12/1988,M,M,3228379385,1CFMG,S
2024,11567443,15/10/1998,M,M,3228410748,1CFSN,S
2024,13527455,13/08/1985,H,M,3162079790,2CFSP,S
2024,12839144,09/11/2004,H,M,3162079790,2CFSA,D
2024,10411509,21/01/1998,M,B,3228415772,1CFSO,D
2024,10984790,16/02/1972,M,M,3162079993,2CFSR,S
2024,10487336,08/01/2005,H,M,3228406545,1CFSI,D
2024,11895957,19/04/1981,M,M,3162075418,2CFMK,D
2024,13487291,08/07/2001,M,M,3162075539,2CFSK,D
2024,13071991,15/10/1968,M,M,3162075411,1CFMI,S
2024,12736231,28/02/1992,M,M,3162079713,2CFMD,S
2024,12826253,16/03/2003,H,M,3162075539,2CFSF,D
2024,10648032,22/02/2005,M,M,3228410357,1CFSD,D
2024,10726936,21/08/2004,H,M,3228406931,1CFSB,D
2024,10042816,27/12/2000,M,M,3228406931,1CFSP,S
2024,13364778,16/07/1984,M,M,3162075411,1CFMI,S
2024,10611327,09/01/2004,H,M,3162080071,2CFSC,D
2024,10041748,09/12/1999,M,M,3162076119,2CFSE,D
2024,10695479,20/06/2004,H,M,3228413382,1CFSQ,D
2024,10487917,25/12/2004,H,B,3228410357,1CFSD,D
2024,10829023,13/02/2005,H,M,3162079790,2CFSA,D
2024,12068421,16/06/1976,H,M,3162079874,1CESIAB,D
2024,10122344,12/11/1996,M,M,3228415772,1CFSS,D
2024,11415744,21/05/1990,M,M,3228379385,1CFMG,S
2024,12690668,11/06/2004,H,M,3228404816,1CFSA,D
2024,12380827,25/04/1989,M,M,3162079713,2CFMD,S
2024,13042221,21/06/1986,H,M,3228413382,1CFSL,S
2024,13456089,18/09/2001,M,M,3162076098,2CFSD,D
2024,13245586,02/06/2004,M,M,3162079790,2CFSA,D
2024,12868237,10/11/1971,M,M,3162075418,2CFMK,D
2024,12735228,18/06/1986,H,M,3162079993,2CFSR,S
2024,11891674,12/06/1984,H,M,3162079993,2CFSR,S
2024,12510101,11/09/1989,H,M,3228390016,1CFMD,S
2024,10772056,22/12/2005,M,M,3162078591,2CFSG,D
2024,11763179,06/12/1985,H,M,3228390016,1CFMD,S
2024,11248561,10/03/2001,M,B,3162079713,2CFMD,S
2024,13455914,21/12/2005,M,B,3228406545,1CFSI,D
2024,13069144,15/05/1970,M,B,3162075411,1CFME,D
2024,11407222,29/07/1988,H,M,3162079936,2CFMI,S
2024,10781254,03/09/2003,H,M,3162075539,2CFSF,D
2024,11329159,08/09/2000,H,M,3162076035,2CFSJ,D
2024,10593808,09/05/2002,M,M,3162075418,2CFMK,D
2024,10593808,09/05/2002,M,B,3228390016,1CFMD,S
2024,11627062,08/03/2006,M,M,3228410357,1CFSD,D
2024,12433428,08/12/1995,H,M,3228413382,1CFSL,S
2024,10648909,18/01/2004,H,M,3228381273,1CFMB,D
2024,10201417,17/09/1999,M,M,3162079957,2CFSH,D
2024,10718081,28/06/2004,H,M,3162077600,2CFSB,D
2024,10014485,02/03/2004,M,M,3162076035,2CFSJ,D
2024,11482158,12/05/1985,H,M,3162079860,1CESCIB,D
2024,10586308,04/12/2002,M,M,3162079860,1CESCIB,D
2024,10951388,08/05/1980,M,M,3228379385,1CFMG,S
2024,11231768,12/08/1987,M,M,3162075411,1CFMI,S
2024,12630557,07/12/1983,M,M,3162077600,2CFSS,S
2024,10205657,18/06/1995,M,M,3228413382,1CFSL,S
2024,10754604,24/10/2006,M,M,3228406931,1CFSB,D
2024,10663493,27/12/1991,M,M,3162079957,2CFSH,D
2024,10490991,15/05/2005,M,M,3162075539,2CFSF,D
2024,10490991,15/05/2005,M,B,3162075539, ,D
2024,10532574,11/09/2002,H,M,3162077600,2CFSB,D
2024,12730900,15/06/1995,M,M,3162076035,2CFSQ,S
2024,13455821,08/01/2004,M,M,3228410748,1CFSR,D
2024,10866566,07/07/2006,M,M,3162075418,2CFMF,D
2024,12736124,28/03/2002,M,M,3162079957,2CFSH,D
2024,13269119,07/08/1987,M,B,3162075411,1CFMF,D
2024,13256847,18/09/1987,H,M,3162075539,2CFSF,D
2024,11622314,11/12/2007,H,M,3228390016,1CFMH,D
2024,13246215,21/06/2004,H,M,3162079790,2CFSA,D
2024,12739203,06/04/2002,M,M,3162075539,2CFSF,D
